00TI               20241203                                                                                   
0601TIA0N       20250101002370100000005000 0000000000002390   
0601TIA0N       20250101002375100000005000 0000000000002390   
0601TIA0N       20250101002380100000005000 0000000000002390   
0601TIA0N       20250101002385100000005000 0000000000002390   
0601TIA0N       20250101002390100000005000 0000000000002400   
0601TIA0N       20250101002395100000005000 0000000000002400   
0601TIA0N       20250101002400100000005000 0000000000002400   
0601TIA0N       20250101002405100000005000 0000000000002400   
0601TIA0N       20250101002410100000005000 0000000000002400   
0601TIA0N       20250101002415100000005000 0000000000002410   
0601TIA0N       20250101002420100000005000 0000000000002410   
0601TIA0N       20250101002425100000005000 0000000000002410   
0601TIA0N       20250101002430100000005000 0000000000002410   
0601TIA0N       20250101002435100000005000 0000000000002410   
0601TIA0N       20250101002440100000005000 0000000000002420   
0601TIA0N       20250101002445100000005000 0000000000002420   
0601TIA0N       20250101002450100000005000 0000000000002420   
0601TIA0N       20250101002455100000005000 0000000000002420   
0601TIA0N       20250101002460100000005000 0000000000002420   
0601TIA0N       20250101002465100000005000 0000000000002430   
0601TIA0N       20250101002470100000005000 0000000000002430   
0601TIA0N       20250101002475100000005000 0000000000002430   
0601TIA0N       20250101002480100000005000 0000000000002430   
0601TIA0N       20250101002485100000005000 0000000000002430   
0601TIA0N       20250101002490100000005000 0000000000002440   
0601TIA0N       20250101002495100000005000 0000000000002440   
0601TIA0N       20250101002500100000005000 0000000000002440   
0601TIA0N       20250101002505100000005000 0000000000002440   
0601TIA0N       20250101002510100000005000 0000000000002440   
0601TIA0N       20250101002515100000005000 0000000000002450   
0601TIA0N       20250101002520100000005000 0000000000002450   
0601TIA0N       20250101002525100000005000 0000000000002450   
0601TIA0N       20250101002530100000005000 0000000000002450   
0601TIA0N       20250101002535100000005000 0000000000002450   
0601TIA0N       20250101002540100000005000 0000000000002460   
0601TIA0N       20250101002545100000005000 0000000000002460   
0601TIA0N       20250101002550100000005000 0000000000002460   
0601TIA0N       20250101002555100000005000 0000000000002460   
0601TIA0N       20250101002560100000005000 0000000000002460   
0601TIA0N       20250101002565100000005000 0000000000002460   
0601TIA0N       20250101002570100000005000 0000000000002470   
0601TIA0N       20250101002575100000005000 0000000000002470   
0601TIA0N       20250101002580100000005000 0000000000002470   
0601TIA0N       20250101002585100000005000 0000000000002470   
0601TIA0N       20250101002590100000005000 0000000000002470   
0601TIA0N       20250101002595100000005000 0000000000002470   
0601TIA0N       20250101002600100000005000 0000000000002480   
0601TIA0N       20250101002605100000005000 0000000000002480   
0601TIA0N       20250101002610100000005000 0000000000002480   
0601TIA0N       20250101002615100000005000 0000000000002480   
0601TIA0N       20250101002620100000005000 0000000000002480   
0601TIA0N       20250101002625100000005000 0000000000002490   
0601TIA0N       20250101002630100000005000 0000000000002490   
0601TIA0N       20250101002635100000005000 0000000000002490   
0601TIA0N       20250101002640100000005000 0000000000002490   
0601TIA0N       20250101002645100000005000 0000000000002490   
0601TIA0N       20250101002650100000005000 0000000000002490   
0601TIA0N       20250101002655100000005000 0000000000002500   
0601TIA0N       20250101002660100000005000 0000000000002500   
0601TIA0N       20250101002665100000005000 0000000000002500   
0601TIA0N       20250101002670100000005000 0000000000002500   
0601TIA0N       20250101002675100000005000 0000000000002500   
0601TIA0N       20250101002680100000005000 0000000000002500   
0601TIA0N       20250101002685100000005000 0000000000002510   
